timestamp,code,i01,i02r,i03,i04,i05,i06r,i07,i08,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,i21,extra_vignette2,major,smoker,sleep_week,sleep_wend,clients_freq,extra_mean,extra_md,extra_aad,extra_mode,extra_iqr
21.09.2015 21:29:32,MSI,3,3,3,2,2,3,3,3,3,2,0,0,20,Frau,2,15,nein,20,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.7,3,0.41999999999999993,3,0.75
23.09.2015 11:20:31,HHS,4,4,2,4,4,4,3,3,4,3,649,12,22,Frau,4,4,nein,20,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.5,4,0.6,4,1
25.09.2015 12:41:36,DUS,3,2,1,2,2,2,2,2,3,2,195,0,30,Mann,4,60,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.1,2,0.36000000000000004,2,0
26.09.2015 12:54:46,JWD,3,3,1,4,4,3,3,3,3,3,200,4,24,Frau,4,10,ja,36,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3,3,0.4,3,0
28.09.2015 12:19:51,WHG,4,2,2,4,4,3,4,3,4,4,188,3,45,Mann,4,3,ja,25,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.4,4,0.72,4,1
28.09.2015 23:08:56,WAM,4,2,1,4,3,2,3,3,3,3,410,2,23,Frau,3,3,nein,18,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,2.8,3,0.68,3,0.75
29.09.2015 08:37:26,NM,3,3,1,3,3,3,2,2,3,1,180,0,23,Frau,4,15,nein,2,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA,2,2.4,3,0.72,3,1
29.09.2015 08:37:36,HED,4,4,2,4,4,4,2,2,3,2,410,4,23,Frau,3,15,ja,15,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.1,3.5,0.9,4,2
29.09.2015 08:38:00,UKS,4,4,2,3,3,4,3,3,3,2,321,24,21,Frau,4,5,nein,36,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.1,3,0.54,3,0.75
29.09.2015 08:38:06,ASS,4,3,3,3,3,3,2,3,3,2,450,3,22,Mann,3,NA,ja,15,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,2.9,3,0.36000000000000004,3,0
29.09.2015 08:39:16,GBV,4,4,2,3,3,3,3,3,3,2,400,10,21,Frau,3,5,nein,25,im Schnitt 1 Mal pro Monat,NA,NA,NA,NA,NA,NA,NA,2,3,3,0.4,3,0
29.09.2015 08:39:32,MRM,4,4,4,4,4,2,4,3,4,3,412,3,26,Frau,4,5,nein,16,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,3.6,4,0.5599999999999999,4,0.75
29.09.2015 10:25:32,SFZM,4,4,3,3,3,3,2,1,2,2,197,0,20,Frau,3,0,nein,2,im Schnitt 1 Mal pro Quartal (oder weniger),NA,NA,NA,NA,NA,NA,NA,1,2.7,3,0.76,3,1
29.09.2015 12:29:38,WEB,3,4,1,3,4,3,3,3,4,2,350,24,29,Frau,NA,5,nein,56,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,3,3,0.6,3,0.75
30.09.2015 12:52:52,FRW,4,4,1,4,4,4,4,4,4,4,0,0,40,Frau,4,3,ja,4,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.7,4,0.5399999999999998,4,0
01.10.2015 09:13:09,OHN,3,3,2,3,3,3,3,3,4,2,261,4,25,Frau,3,5,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.9,3,0.36000000000000004,3,0
01.10.2015 12:46:04,BGM,4,4,1,4,4,3,3,3,3,2,400,30,25,Frau,4,10,nein,40,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.1,3,0.72,3,1
01.10.2015 22:50:15,Wga,4,4,2,4,4,3,4,3,4,3,600,2,20,Frau,4,2,nein,5,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,3.5,4,0.6,4,1
02.10.2015 08:27:37,KMA,4,3,2,4,4,2,3,3,3,3,200,20,28,Frau,4,5,nein,15,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.1,3,0.54,3,0.75
02.10.2015 08:49:04,RDA,3,3,4,3,3,2,3,2,3,1,517,0,25,Frau,3,10,nein,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.7,3,0.6199999999999999,3,0.75
02.10.2015 14:32:59,HPA,4,3,4,3,2,4,3,3,4,2,400,20,25,Mann,4,10,ja,15,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.2,3,0.64,3,1
05.10.2015 21:10:25,OSB,4,4,1,3,4,4,4,3,4,3,550,5,24,Frau,4,2,ja,8,im Schnitt 1 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA,3,3.4,4,0.72,4,1
07.10.2015 12:09:45,FGL,2,3,2,3,3,3,4,2,2,4,325,5,29,Frau,2,5,ja,1,im Schnitt 1 Mal pro Woche,NA,NA,NA,NA,NA,NA,NA,3,2.8,3,0.64,2,1
07.10.2015 21:53:03,RBI,3,3,1,2,2,3,3,3,3,3,200,5,22,Frau,3,20,nein,25,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.6,3,0.5599999999999999,3,0.75
09.10.2015 21:38:48,RBA,3,2,1,2,2,1,1,4,2,3,450,28,28,Mann,3,5,ja,14,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,2.1,2,0.74,2,1.5
09.10.2015 22:02:41,HSE,4,4,1,3,3,3,3,3,3,3,60,3,26,Mann,3,5,ja,5,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3,3,0.4,3,0
10.10.2015 07:47:26,REA,3,1,1,3,2,2,2,1,2,1,NA,2,25,Mann,3,15,ja,1,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,1.8,2,0.64,1,1
10.10.2015 09:27:46,WTF,4,3,2,4,4,4,3,3,4,4,NA,1,30,Mann,4,6,ja,4,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.5,4,0.6,4,1
10.10.2015 09:32:01,Cori,4,4,2,4,4,3,3,3,3,2,319,5,24,Frau,3,NA,ja,10,Ich habe keinen Kundenkontakt,NA,NA,NA,NA,NA,NA,NA,NA,3.2,3,0.64,3,1
10.10.2015 09:40:55,MFA,4,4,2,3,4,3,4,3,4,3,635,3,25,Frau,4,1,ja,10,im Schnitt mehrfach pro Tag,NA,NA,NA,NA,NA,NA,NA,5,3.4,3.5,0.6,4,1
15.10.2015 15:40:23,WAE,2,3,1,3,2,2,2,2,3,1,NA,1,43,Mann,3,10,nein,2,im Schnitt 1 Mal pro Tag,NA,NA,NA,NA,NA,NA,NA,4,2.1,2,0.54,2,0.75
